id|name|code|description
52|Mobilya imalatı|43.32.01|Hazır mutfaklar, mutfak tezgahları, gömme dolaplar, iç merdivenler ile ince tahta, lambri ve benzerlerinin montajı işleri
53|Mobilya ticareti|46.15.01|Mobilyaların toptan satışı ile ilgili aracıların faaliyetleri
54|Mobilya ticareti|46.47.01|Mobilya ve mobilya aksesuarları toptan ticareti (yatak dahil)
55|Mobilya ticareti|46.47.04|Büro mobilyalarının toptan ticareti
56|Mobilya ticareti|47.55.03|Ev mobilyalarının ve aksesuarlarının perakende ticareti (baza, somya, karyola dahil; hasır ve sepetçi söğüdü gibi malzemelerden olanlar hariç)
57|Mobilya ticareti|47.55.06|Büro mobilyaları ve aksesuarlarının perakende ticareti
58|Mobilya ticareti|47.55.07|Bahçe mobilyalarının perakende ticareti
59|Mobilya ticareti|47.55.08|Yatak perakende ticareti
60|Mobilya ticareti|77.33.02|Büro mobilyalarının kiralanması ve leasingi (büro sandalyesi ve masasının kiralanması dahil) (finansal leasing hariç)
61|Yakacak imalatı, ticareti|02.20.01|Endüstriyel ve yakacak odun üretimi (geleneksel yöntemlerle odun kömürü üretimi dahil)
62|Yakacak imalatı, ticareti|16.26.00|Bitkisel biyokütleden katı yakıt imalatı
63|Yakacak imalatı, ticareti|19.20.12|Turba, linyit ve taş kömürü briketleri imalatı (kömür tozundan basınçla elde edilen yakıt)
64|Yakacak imalatı, ticareti|46.81.03|Katı yakıtlar ve bunlarla ilgili ürünlerin toptan ticareti
65|Yakacak imalatı, ticareti|47.78.02|Kömür ve yakacak odun perakende ticareti
66|Yakacak imalatı, ticareti|47.78.31|Mağaza, tezgah, pazar yeri dışında müşterinin istediği yere ulaştırılarak yapılan doğrudan yakıt satışı (kalorifer yakıtı, yakacak odun, vb.)
67|Ajans, organizasyon faaliyetleri|74.99.01|Sanatçı, sporcu, şovmen, manken ve diğerleri için ajansların ve menajerlerin faaliyetleri
68|Ajans, organizasyon faaliyetleri|77.39.99|Başka yerde sınıflandırılmamış diğer makine ve ekipmanların sürücüsüz kiralanması ve leasingi ile maddi malların kiralanması ve operasyonel leasingi
69|Ajans, organizasyon faaliyetleri|78.10.04|Oyuncu seçme ajansları ve bürolarının faaliyetleri
70|Ajans, organizasyon faaliyetleri|79.90.99|Başka yerde sınıflandırılmamış diğer rezervasyon hizmetleri ve ilgili faaliyetler (turizm tanıtım faaliyetleri, vb.)
71|Ajans, organizasyon faaliyetleri|82.30.02|Kongre ve ticari gösteri organizasyonu
72|Ajans, organizasyon faaliyetleri|82.40.01|Spor, müzik, tiyatro ve diğer eğlence etkinlikleri için yer ayırma (rezervasyon) ve bilet satılması faaliyeti
73|Ajans, organizasyon faaliyetleri|90.20.01|Bağımsız aktör, aktrist ve dublörlerin faaliyetleri
74|Ajans, organizasyon faaliyetleri|90.39.90|Sanat ve gösteri sanatlarına yönelik diğer destek faaliyetleri (sanat ve gösteri sanatlarına yönelik yönetmenlerin ve yapımcıların faaliyetleri hariç)
75|Ajans, organizasyon faaliyetleri|93.19.02|Spor etkinlikleri yapımcılarının faaliyetleri ile bu etkinliklerin kendi tesisleri olmayan kuruluşlar tarafından düzenlenmesi faaliyetleri (spor kulüpleri tarafından yapılanlar hariç)
76|Ajans, organizasyon faaliyetleri|93.29.12|Sanatsal olmayan etkinliklerin organizasyonuyla ilgili görsel-işitsel ekipmanların ve özel efektlerin teknik planlanması, temini, kurulumu ve işletilmesi
77|Düğün salonu işletmeciliği|93.29.02|Düğün, balo ve kokteyl salonlarının işletilmesi
78|Düğün salonu işletmeciliği|96.99.14|Nikah salonlarının hizmetleri
79|Eğlence yerleri işletmeciliği|59.14.02|Sinema filmi gösterim faaliyetleri
80|Eğlence yerleri işletmeciliği|90.20.04|Sirklerin faaliyetleri
81|Eğlence yerleri işletmeciliği|93.21.01|Eğlence parkları ve tema parklarının faaliyetleri (bağımsız sağlayıcılar tarafından mekanik at ve arabaların, oyunların ve gösterilerin işletilmesi hariç)
82|Eğlence yerleri işletmeciliği|93.29.01|Plaj alanlarının işletilmesi (bu tesislerin bütünleyici bir parçası olan soyunma odası, dolap, sandalye, kano, deniz motosikleti vb. kiralanması dahil)
83|Eğlence yerleri işletmeciliği|93.29.10|Dinlence (rekreasyon) parklarının faaliyetleri (konaklamalı olanlar ile eğlence parkları ve tema parklarının işletilmesi hariç)
84|Eğlence yerleri işletmeciliği|93.29.99|Başka yerde sınıflandırılmamış diğer eğlence ve dinlence (rekreasyon) faaliyetleri
85|Gazinoculuk|56.30.04|Bar, meyhane ve birahanelerde içecek sunum faaliyetleri (alkollü-alkolsüz)
86|Gazinoculuk|56.30.05|Gazino, gece kulübü, taverna, diskotek, kokteyl salonları, vb. yerlerde içecek sunum faaliyetleri (alkollü-alkolsüz)
87|Kahvehanecilik, kıraathanecilik|56.30.02|Çay ocakları, kıraathaneler, kahvehaneler, kafeler (içecek ağırlıklı hizmet veren), meyve suyu salonları ve çay bahçelerinde içecek sunum faaliyeti
88|Kahvehanecilik, kıraathanecilik|56.30.90|Seyyar içecek satanlar ile diğer içecek sunum faaliyetleri (Trenlerde ve gemilerde işletilen barların faaliyetleri (alkollü-alkolsüz) dahil)
89|Lokal işletmeciliği|56.30.03|Lokallerde içecek sunum faaliyeti (alkollü-alkolsüz)
90|Otel, pansiyon, yurt işletmeciliği|55.10.02|Otel vb. konaklama yerlerinin faaliyetleri (günlük temizlik ve yatak yapma hizmeti sağlanan yerlerin faaliyetleri) (kendi müşterilerine restoran hizmeti vermeyenler ile devre mülkler hariç)
91|Otel, pansiyon, yurt işletmeciliği|55.10.05|Otel vb. konaklama yerlerinin faaliyetleri (günlük temizlik ve yatak yapma hizmeti sağlanan yerlerin faaliyetleri) (kendi müşterilerine restoran hizmeti verenler ile devre mülkler hariç)
92|Otel, pansiyon, yurt işletmeciliği|55.20.01|Tatil ve diğer kısa süreli konaklama faaliyetleri (günlük temizlik ve yatak yapma hizmeti sağlanan oda veya süit konaklama faaliyetleri hariç)
93|Otel, pansiyon, yurt işletmeciliği|55.20.03|Kendine ait veya kiralanmış mobilyalı evlerde bir aydan daha kısa süreli olarak konaklama faaliyetleri
94|Otel, pansiyon, yurt işletmeciliği|55.20.04|Tatil amaçlı pansiyonların faaliyetleri
95|Otel, pansiyon, yurt işletmeciliği|55.30.36|Kamp alanları ve karavan parkları
96|Otel, pansiyon, yurt işletmeciliği|55.90.01|Öğrenci ve işçi yurtları, pansiyonlar ve odası kiralanan evlerde yapılan konaklama faaliyetleri (tatil amaçlı olanlar hariç)
97|Otel, pansiyon, yurt işletmeciliği|55.90.90|Diğer konaklama yerlerinin faaliyetleri (başka bir birim tarafından işletildiğinde yataklı vagonlar vb. dahil; misafirhaneler, öğretmen evi vb. hariç)
98|Otel, pansiyon, yurt işletmeciliği|91.22.00|Tarihi alan ve anıt faaliyetleri (tarihi alanların ve yapıların işletilmesi, korunması dahil)
99|Oyun salonu, internet kafe işletmeciliği|61.90.05|İnternet kafelerin faaliyetleri
100|Oyun salonu, internet kafe işletmeciliği|93.29.03|Oyun makinelerinin işletilmesi
101|Oyun salonu, internet kafe işletmeciliği|93.29.08|Bilardo salonlarının faaliyetleri
102|Oyun salonu, internet kafe işletmeciliği|93.29.11|Elektronik spor (e-spor) oyun merkezlerinin faaliyetleri
103|Ses, sahne sanatçılığı|90.20.02|Bağımsız müzisyen, ses sanatçısı, konuşmacı, sunucu vb.lerin faaliyetleri (müzik grupları dahil)
104|Ses, sahne sanatçılığı|90.20.03|Canlı tiyatro, opera, bale, müzikal, konser vb. yapımların sahneye konulması faaliyetleri (illüzyon gösterileri, kukla gösterileri ve kumpanyalar dahil)
105|Ses, sahne sanatçılığı|90.20.99|Başka yerde sınıflandırılmamış diğer gösteri sanatları
106|Şans oyunları bayiliği|92.00.01|Müşterek bahis faaliyetleri (at yarışı, köpek yarışı, futbol ve diğer spor yarışmaları konusunda bahis hizmetleri)
107|Şans oyunları bayiliği|92.00.02|Loto vb. sayısal şans oyunlarına ilişkin faaliyetler (piyango biletlerinin satışı dahil)
108|Asansör, yürüyen merdiven kurulumu, bakımı, onarımı|43.24.01|Asansörlerin, yürüyen merdivenlerin, yürüyen yolların, otomatik ve döner kapıların onarım ve bakımı dahil kurulum işleri
109|Beyaz eşya onarımı|95.22.01|Evde kullanılan elektrikli cihazların onarım ve bakımı
110|Beyaz eşya ticareti|46.43.01|Beyaz eşya toptan ticareti
111|Beyaz eşya ticareti|47.54.01|Beyaz eşya ve elektrikli küçük ev aleti perakende ticareti (radyo, televizyon ve fotoğrafçılık ürünleri hariç)
112|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|18.20.03|Yazılımların çoğaltılması hizmetleri (CD, kaset vb. ortamlardaki bilgisayar yazılımlarının ve verilerin asıl (master) kopyalarından çoğaltılması)
113|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|58.21.01|Video oyunlarının yayımlanması
114|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|58.29.01|Diğer yazılım programlarının yayımlanması
115|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|60.39.00|Diğer içerik dağıtım faaliyetleri
116|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|62.10.00|Bilgisayar programlama faaliyetleri
117|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|62.20.00|Bilgisayar danışmanlığı ve bilgisayar birimleri (sistemleri) yönetimi faaliyetleri (siber güvenlik danışmanlığı dahil)
118|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|62.90.01|Bilgisayarları felaketten kurtarma ve veri kurtarma faaliyetleri
119|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|62.90.99|Başka yerde sınıflandırılmamış diğer bilgi teknolojisi ve bilgisayar hizmet faaliyetleri
120|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|63.10.00|Bilgi işlem altyapısı, veri işleme, barındırma ve ilgili faaliyetler
121|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|63.91.02|Web arama portalı faaliyetleri
122|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|95.10.01|Bilgisayarların ve bilgisayar çevre birimlerinin onarımı (ATM'ler ve pos cihazları dahil)
123|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|95.10.03|Bilgisayarların ve bilgisayar çevre birimlerinin yenilenmesi hizmeti faaliyetleri (dizüstü bilgisayarlar, masaüstü bilgisayarlar, modemler, oyun konsolları)
124|Bilgisayar kurulumu, onarımı, programlama, veri kurtarma|95.10.04|İletişim araç ve gereçlerinin yenilenmesi hizmeti faaliyetleri (cep telefonları, akıllı telefonlar)
125|Elektrik makineleri imalatı, kurulumu, onarımı|27.11.01|Elektrik motoru, jeneratör ve transformatörlerin imalatı (aksam ve parçaları hariç)
126|Elektrik makineleri imalatı, kurulumu, onarımı|27.11.03|Elektrik motoru, jeneratör ve transformatörlerin aksam ve parçalarının imalatı
127|Elektrik makineleri imalatı, kurulumu, onarımı|27.90.05|Elektrikli kaynak ve lehim teçhizatı (lehim havyaları, ark kaynak makineleri, endüksiyon kaynak makineleri vb.) ile metallerin veya sinterlenmiş metal karbürlerin sıcak spreylenmesi için elektrikli makine ve cihazlarının imalatı
128|Elektrik makineleri imalatı, kurulumu, onarımı|33.14.01|Güç transformatörleri, dağıtım transformatörleri ve özel transformatörlerin onarım ve bakımı (elektrik dağıtım ve kontrol cihazları dahil)
129|Elektrik makineleri imalatı, kurulumu, onarımı|33.14.02|Elektrik motorları, jeneratörler ve motor jeneratör setlerinin onarım ve bakımı (bobinlerin tekrar sarımı dahil)
130|Elektrik makineleri imalatı, kurulumu, onarımı|33.20.51|Elektrikli ekipmanların kurulum hizmetleri (yollar, vb. için elektrikli sinyalizasyon ekipmanları hariç))
131|Elektrik malzemeleri imalatı, ticareti|23.43.01|Seramik yalıtkanların (izolatörlerin) ve yalıtkan bağlantı parçalarının imalatı
132|Elektrik malzemeleri imalatı, ticareti|27.12.01|Elektrik dağıtım ve kontrol cihazları imalatı
133|Elektrik malzemeleri imalatı, ticareti|27.12.02|Elektrik dağıtım ve kontrol cihazlarının aksam ve parçalarının imalatı
134|Elektrik malzemeleri imalatı, ticareti|27.33.00|Kablolamada kullanılan gereçlerin imalatı
135|Elektrik malzemeleri imalatı, ticareti|27.40.02|Hava ve motorlu kara taşıtları için monoblok far üniteleri, kara, hava ve deniz taşıtları için elektrikli aydınlatma donanımları veya görsel sinyalizasyon ekipmanları imalatı (polis araçları, ambulans vb. araçların dış ikaz lambaları dahil)
136|Elektrik malzemeleri imalatı, ticareti|27.40.03|Avize, aplik ve diğer elektrikli aydınlatma armatürleri, sahne, fotoğraf veya sinema stüdyoları için projektörler ve spot ışıkları, elektrikli masa lambaları, çalışma lambaları, abajur vb. lambaların imalatı (süsleme için ışıklandırma setleri dahil)
137|Elektrik malzemeleri imalatı, ticareti|27.40.04|Sokak aydınlatma donanımlarının imalatı (trafik ışıkları hariç)
138|Elektrik malzemeleri imalatı, ticareti|27.40.05|Pil, akümülatör veya manyeto ile çalışan portatif elektrik lambaları ve elektriksiz lambalar ile el feneri, gaz ve lüks lambası vb. aydınlatma armatürlerinin imalatı (taşıtlar için olanlar hariç)
139|Elektrik malzemeleri imalatı, ticareti|27.40.99|Başka yerde sınıflandırılmamış aydınlatma ekipmanları imalatı
140|Elektrik malzemeleri imalatı, ticareti|27.90.99|Başka yerde sınıflandırılmamış diğer elektrikli ekipmanların imalatı
141|Elektrik malzemeleri imalatı, ticareti|29.31.05|Motorlu kara taşıtları ve motosikletler için elektrikli sinyalizasyon donanımları, kornalar, sirenler, cam silecekleri, buğu önleyiciler, elektrikli cam/kapı sistemleri, voltaj regülatörleri vb. elektrikli ekipmanların imalatı
142|Elektrik malzemeleri imalatı, ticareti|46.47.03|Aydınlatma ekipmanlarının toptan ticareti
143|Elektrik malzemeleri imalatı, ticareti|46.64.03|Rüzgar türbinleri, kondansatörler, elektrik yalıtkanları (izolatör), AC/AD/DC motorlar, jeneratörler, yalıtılmış bobin telleri vb. elektrikli makine, cihaz ve aletlerin toptan ticareti
144|Elektrik malzemeleri imalatı, ticareti|46.64.09|Akümülatör, batarya, pil ve bunların parçalarının toptan ticareti (evlerde, motosikletlerde ve motorlu kara taşıtlarında kullanılanlar hariç)
145|Elektrik malzemeleri imalatı, ticareti|46.64.15|Elektrik malzemeleri toptan ticareti (evde kullanılan pil ve bataryalar dahil)
146|Elektrik malzemeleri imalatı, ticareti|47.54.03|Evde kullanım amaçlı elektrik tesisat malzemesi perakende ticareti
147|Elektrik malzemeleri imalatı, ticareti|47.55.02|Aydınlatma teçhizatı perakende ticareti (elektrik malzemeleri hariç)
148|Elektrik sistemleri imalatı, kurulumu, onarımı|33.14.90|Diğer profesyonel elektrikli ekipmanların onarım ve bakımı
149|Elektrik sistemleri imalatı, kurulumu, onarımı|33.20.53|Endüstriyel işlem kontrol ekipmanlarının kurulum hizmetleri (otomasyon destekliler dahil)
150|Elektrik tesisatçılığı|35.11.00|Yenilenemeyen kaynaklardan elektrik üretimi
151|Elektrik tesisatçılığı|35.12.00|Yenilenebilir kaynaklardan elektrik üretimi
152|Elektrik tesisatçılığı|43.21.01|Bina ve bina dışı yapıların (ulaşım için aydınlatma ve sinyalizasyon sistemleri hariç) elektrik tesisatı, kablolu televizyon ve bilgisayar ağı tesisatı ile konut tipi antenler (uydu antenleri dahil), elektrikli güneş enerjisi kollektörleri, elektrik sayaçları, elektrikli araçlar için elektrikli şarj cihazları tesisatının kurulumu, duvar dibi ısıtma sistemleri, yangın ve hırsızlık alarm sistemleri vb. kurulumu
153|Elektrikli ev aletleri imalatı, onarımı|27.51.02|Ev tipi elektrikli su ısıtıcıları (depolu su ısıtıcıları, anında su ısıtıcıları, şofben, termosifon dahil), elektrikli ısıtma cihazları (elektrikli soba, radyatör, vb.) ve elektrikli toprak ısıtma cihazlarının imalatı
154|Elektrikli ev aletleri imalatı, onarımı|27.51.04|Mutfakta kullanılan elektrikli küçük ev aletlerinin imalatı (çay veya kahve makinesi, semaver, ızgara, kızartma cihazı, ekmek kızartma makinesi, mutfak robotu, mikser, blender, meyve sıkacağı, et kıyma makinesi, tost makinesi, fritöz vb.)
155|Elektrikli ev aletleri imalatı, onarımı|27.51.05|Elektrikli diğer küçük ev aletleri (elektrotermik el kurutma makinesi, elektrikli ütü, havlu dispenseri, hava nemlendirici) ile elektrikli battaniyelerin imalatı
156|Elektrikli ev aletleri imalatı, onarımı|27.51.07|Elektrikli ev aletleri aksam ve parçalarının imalatı
157|Elektrikli ev aletleri imalatı, onarımı|27.51.08|Ev tipi buzdolabı, dondurucu, çamaşır makinesi, çamaşır kurutma makinesi, bulaşık makinesi, vantilatör, aspiratör, fan, aspiratörlü davlumbaz, fırın, ocak, mikrodalga fırın, elektrikli pişirme sacı vb. imalatı
158|Elektrikli ev aletleri imalatı, onarımı|27.51.99|Başka yerde sınıflandırılmamış diğer elektrikli ev aletlerinin imalatı
159|Elektrikli ev aletleri imalatı, onarımı|95.29.99|Başka yerde sınıflandırılmamış diğer kişisel ve ev eşyalarının onarım ve bakımı
160|Elektrikli ev aletleri ticareti|46.43.90|Diğer elektrikli ev aletleri toptan ticareti
161|Elektrikli ev aletleri ticareti|47.54.99|Başka yerde sınıflandırılmamış elektrikli ev aletleri perakende ticareti (radyo, TV ve fotoğrafçılık ürünleri hariç)
162|Elektronik ürün imalatı, onarımı|26.11.04|Diyotların, transistörlerin, diyakların, triyaklar, tristör, rezistans, ledler, kristal, röle, mikro anahtar, sabit veya ayarlanabilir direnç ve kondansatörler ile elektronik entegre devrelerin imalatı
163|Elektronik ürün imalatı, onarımı|26.11.06|Çıplak baskılı devre kartlarının imalatı
164|Elektronik ürün imalatı, onarımı|26.11.99|Başka yerde sınıflandırılmamış diğer elektronik bileşenlerin imalatı
165|Elektronik ürün imalatı, onarımı|26.12.01|Yüklü elektronik kart imalatı (yüklü baskılı devre kartları, ses, görüntü, denetleyici, ağ ve modem kartları ile akıllı kartlar vb.)
166|Elektronik ürün imalatı, onarımı|26.30.03|Kızıl ötesi (enfraruj) sinyal kullanan iletişim cihazlarının imalatı (örn: uzaktan kumanda cihazları)
167|Elektronik ürün imalatı, onarımı|26.30.05|Alıcı ve verici antenlerin imalatı (harici, teleskopik, çubuk, uydu, çanak ve hava ve deniz taşıtlarının antenleri)
168|Elektronik ürün imalatı, onarımı|26.40.10|Mikrofon, hoparlör ve kulaklıklar ile elektrikli ses yükselteçlerinin (amplifikatörler) imalatı
169|Elektronik ürün imalatı, onarımı|26.40.99|Başka yerde sınıflandırılmamış tüketici elektroniği ürünlerinin imalatı
170|Elektronik ürün imalatı, onarımı|26.51.03|Elektrik miktarını (volt, akım vb.) ölçmek ve kontrol etmek için kullanılan alet ve cihazların imalatı (avometre, voltmetre, osiloskop ile diğer voltaj, akım, direnç veya elektrik gücünü ölçüm veya kontrol için olanlar) (elektrik sayaçları hariç)
171|Elektronik ürün imalatı, onarımı|26.51.04|Hız ve mesafe ölçümünde kullanılan alet ve cihazların imalatı (taşıt hız göstergesi, takometre, taksimetre vb.)
172|Elektronik ürün imalatı, onarımı|26.51.05|Isı ve sıcaklık ölçümünde kullanılan alet ve cihazların imalatı (termometre, termostat, pirometre vb.)
173|Elektronik ürün imalatı, onarımı|26.51.06|Işık, ışın ve renk ölçümünde kullanılan alet ve cihazların imalatı (polarimetre, kolorimetre, refraktometre vb.)
174|Elektronik ürün imalatı, onarımı|26.51.07|Meteorolojide kullanılan alet ve cihazların imalatı
175|Elektronik ürün imalatı, onarımı|26.51.08|Yön bulma pusulaları ile diğer seyrüsefer alet ve cihazlarının, radar ve sonar cihazlarının imalatı (hava, kara ve deniz taşımacılığında kullanılanlar dahil)
176|Elektronik ürün imalatı, onarımı|26.51.09|Hava, sıvı ve gazların akış, seviye, basınç veya diğer değişkenlerini ölçme ve kontrol etme için kullanılan aletlerin imalatı (hidrometre, debimetre, barometre, higrometre vb.)
177|Elektronik ürün imalatı, onarımı|26.51.11|Teçhizatlı çizim masaları ve makineleri ile diğer çizim, işaretleme veya matematiksel hesaplama aletlerinin imalatı (pergel takımı, pantograf, resim, çizim, hesap yapmaya mahsus elektrikli/elektronik çiziciler vb. dahil)
178|Elektronik ürün imalatı, onarımı|26.51.12|Laboratuvar, kuyumculuk vb. yerlerde kullanılan hassas tartıların imalatı
179|Elektronik ürün imalatı, onarımı|26.51.13|Sanayide kullanılan işlem kontrol amaçlı teçhizatların imalatı
180|Elektronik ürün imalatı, onarımı|26.51.99|Başka yerde sınıflandırılmamış ölçme, test ve seyrüsefer amaçlı alet ve cihazların imalatı (hidrolik veya pnömatik otomatik ayar veya kontrol aletleri ile milometreler, pedometreler, stroboskoplar, monostatlar, kumpaslar, spektrometreler dahil)
181|Elektronik ürün imalatı, onarımı|28.23.00|Büro makine ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç)
